Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Public Class,org.junit.jupiter.migrationsupport.rules.WrongExtendWithForVerifierMethodTests,4,1,1,66,0,3,3,,21
Public Class,org.junit.jupiter.migrationsupport.rules.adapter.ExpectedExceptionAdapter,4,1,2,0,0,1,3,,15
Public Class,org.junit.jupiter.migrationsupport.rules.adapter.ExternalResourceAdapter,3,1,2,0,0,1,3,,13
Public Class,org.junit.jupiter.migrationsupport.rules.adapter.VerifierAdapter,2,1,2,0,0,1,2,,9
Public Class,org.junit.jupiter.migrationsupport.rules.member.TestRuleAnnotatedField,3,1,2,0,0,2,2,,13
Public Class,org.junit.jupiter.migrationsupport.rules.member.TestRuleAnnotatedMethod,1,1,2,0,0,1,1,,5
Public Class,org.junit.jupiter.params.aggregator.AggregatorIntegrationTests,21,1,1,0,0,30,19,,276
Public Class,org.junit.jupiter.params.aggregator.ArgumentAccessException,2,1,3,0,0,0,2,,9
Public Class,org.junit.jupiter.params.aggregator.ArgumentsAggregationException,2,1,3,0,0,0,2,,9
Public Class,org.junit.jupiter.params.aggregator.DefaultArgumentsAccessor,18,1,1,66,0,4,15,,77
Public Class,org.junit.jupiter.params.converter.ArgumentConversionException,2,1,3,0,0,0,2,,9
Public Class,org.junit.jupiter.params.converter.DefaultArgumentConverter,13,2,2,0,0,8,4,,180
Public Class,org.junit.jupiter.params.provider.CsvParsingException,2,1,3,0,0,0,2,,9
Public Class,org.junit.jupiter.params.support.AnnotationConsumerInitializer,6,1,1,0,0,5,3,,29
Public Class,org.junit.platform.commons.JUnitException,2,1,2,0,12,0,2,,9
Public Class,org.junit.platform.commons.PreconditionViolationException,2,1,4,0,0,0,2,,9
Public Class,org.junit.platform.commons.function.TryTests,25,1,1,0,0,4,5,,74
Public Class,org.junit.platform.commons.logging.LogRecordListener,12,1,1,50,0,1,6,,30
Public Class,org.junit.platform.commons.logging.LoggerFactory,5,1,1,0,0,3,4,,111
Public Class,org.junit.platform.commons.support.AnnotationSupport,19,1,1,0,0,7,16,,92
Public Class,org.junit.platform.commons.support.ClassSupport,3,1,1,0,0,1,3,,10
Public Class,org.junit.platform.commons.support.ModifierSupport,17,1,1,0,0,1,17,,56
Private Class,org.junit.platform.commons.support.ModifierSupportTests.PrivateClass,1,1,1,0,0,0,1,,5
Public Class,org.junit.platform.commons.support.ModifierSupportTests.PublicClass,1,1,1,0,0,0,1,,4
Public Class,org.junit.platform.commons.support.ReflectionSupport,14,1,1,0,0,6,14,,59
Public Class,org.junit.platform.commons.test.ConcurrencyTestingUtils,9,1,1,0,0,0,2,,43
Public Class,org.junit.platform.commons.util.AnnotationUtils,61,1,1,0,0,6,22,,230
Public Class,org.junit.platform.commons.util.BlacklistedExceptions,2,1,1,0,0,1,2,,8
Public Class,org.junit.platform.commons.util.ClassFilter,7,1,1,66,0,1,6,,24
Public Class,org.junit.platform.commons.util.ClassLoaderUtils,11,3,1,0,0,2,3,,45
Public Class,org.junit.platform.commons.util.ClassNamePatternFilterUtils,9,1,1,0,0,1,5,,32
Public Class,org.junit.platform.commons.util.ClassUtils,8,1,1,0,0,1,4,,17
Public Class,org.junit.platform.commons.util.CollectionUtils,23,3,1,0,0,2,6,,81
Public Class,org.junit.platform.commons.util.ExceptionUtils,4,1,1,0,0,1,4,,21
Public Class,org.junit.platform.commons.util.FunctionUtils,3,1,1,0,0,1,2,,9
Public Class,org.junit.platform.commons.util.ModuleUtils,20,1,1,0,0,5,8,,97
Public Class,org.junit.platform.commons.util.ModuleUtils,7,1,1,0,0,4,5,,22
Public Class,org.junit.platform.commons.util.PackageUtils,4,1,1,0,0,1,3,,24
Public Class,org.junit.platform.commons.util.PreconditionViolationException,2,1,3,0,1,0,2,,9
Public Class,org.junit.platform.commons.util.Preconditions,26,1,1,0,0,2,16,,81
Public Class,org.junit.platform.commons.util.ReflectionUtils,199,1,1,100,0,14,97,,859
Private Class,org.junit.platform.commons.util.ReflectionUtilsTests.PrivateClass,1,1,1,0,0,0,1,,5
Public Class,org.junit.platform.commons.util.ReflectionUtilsTests.PublicClass,5,1,1,0,0,0,5,,12
Public Class,org.junit.platform.commons.util.RuntimeUtils,6,1,1,0,0,2,3,,27
Public Class,org.junit.platform.commons.util.SerializationUtils,2,1,1,0,0,0,2,,15
Public Class,org.junit.platform.commons.util.StringUtils,29,2,1,0,0,2,12,,90
Public Class,org.junit.platform.commons.util.ToStringBuilder,7,1,1,66,0,2,6,,26
Public Class,org.junit.platform.commons.util.UnrecoverableExceptions,3,1,1,0,0,1,2,,9
Public Class,org.junit.platform.commons.util.classes.AExecutionConditionClass,1,1,1,0,0,2,1,,6
Public Class,org.junit.platform.commons.util.classes.ATestExecutionListenerClass,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.commons.util.classes.AVanillaEmpty,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.commons.util.classes.BExecutionConditionClass,1,1,1,0,0,2,1,,6
Public Class,org.junit.platform.commons.util.classes.BTestExecutionListenerClass,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.commons.util.classes.BVanillaEmpty,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.console.ConsoleLauncher,15,1,1,70,0,9,9,,82
Public Class,org.junit.platform.console.ConsoleLauncherExecutionResult,9,1,1,71,0,2,7,,34
Public Class,org.junit.platform.console.ConsoleLauncherToolProvider,2,1,1,0,0,2,2,,10
Public Class,org.junit.platform.console.options.CommandLineOptions,66,1,1,96,0,4,66,,245
Public Class,org.junit.platform.console.options.ConsoleUtils,1,1,1,0,0,0,1,,5
Public Class,org.junit.platform.console.options.ConsoleUtils,2,1,1,0,0,0,1,,6
Public Class,org.junit.platform.console.options.PicocliCommandLineOptionsParser,6,1,1,0,0,3,3,,30
Public Class,org.junit.platform.console.tasks.ConsoleTestExecutor,24,1,1,59,0,17,11,,87
Public Class,org.junit.platform.engine.ExecutionRequest,5,1,1,60,0,3,5,,26
Public Class,org.junit.platform.engine.FilterResult,12,1,1,66,0,1,9,,37
Public Class,org.junit.platform.engine.SelectorResolutionResult,7,1,1,57,0,2,7,,38
Public Class,org.junit.platform.engine.TestExecutionResult,7,1,1,57,0,3,7,,36
Public Class,org.junit.platform.engine.TestTag,11,1,1,37,0,3,8,,46
Public Class,org.junit.platform.engine.UniqueId,26,1,1,79,0,4,18,,144
Public Class,org.junit.platform.engine.discovery.ClassSelector,11,1,1,35,0,4,7,,43
Public Class,org.junit.platform.engine.discovery.ClasspathResourceSelector,9,1,1,16,0,2,6,,38
Public Class,org.junit.platform.engine.discovery.ClasspathRootSelector,7,1,1,0,0,1,5,,30
Public Class,org.junit.platform.engine.discovery.DirectorySelector,9,1,1,0,0,1,7,,36
Public Class,org.junit.platform.engine.discovery.DiscoverySelectors,38,1,1,0,0,20,33,,196
Public Class,org.junit.platform.engine.discovery.FilePosition,22,1,1,44,0,5,10,,82
Public Class,org.junit.platform.engine.discovery.FileSelector,10,1,1,25,0,2,8,,41
Public Class,org.junit.platform.engine.discovery.IterationSelector,9,1,1,28,0,1,7,,41
Public Class,org.junit.platform.engine.discovery.MethodSelector,23,1,1,57,0,6,15,,99
Public Class,org.junit.platform.engine.discovery.ModuleSelector,7,1,1,0,0,1,5,,30
Public Class,org.junit.platform.engine.discovery.NestedClassSelector,11,1,1,33,0,2,9,,47
Public Class,org.junit.platform.engine.discovery.NestedMethodSelector,17,1,1,30,0,3,15,,71
Public Class,org.junit.platform.engine.discovery.PackageSelector,7,1,1,0,0,1,5,,30
Public Class,org.junit.platform.engine.discovery.UniqueIdSelector,7,1,1,0,0,2,5,,30
Public Class,org.junit.platform.engine.discovery.UriSelector,7,1,1,0,0,1,5,,30
Public Class,org.junit.platform.engine.reporting.ReportEntry,7,1,1,64,0,2,7,,37
Public Class,org.junit.platform.engine.support.config.PrefixedConfigurationParameters,7,1,1,42,0,1,7,,32
Public Class,org.junit.platform.engine.support.descriptor.ClassSource,21,1,1,66,0,6,15,,84
Public Class,org.junit.platform.engine.support.descriptor.ClasspathResourceSource,14,1,1,50,0,4,10,,59
Public Class,org.junit.platform.engine.support.descriptor.CompositeTestSource,8,1,1,16,0,2,6,,35
Public Class,org.junit.platform.engine.support.descriptor.DemoClassTestDescriptor,5,1,2,33,0,8,3,,29
Public Class,org.junit.platform.engine.support.descriptor.DemoMethodTestDescriptor,8,1,2,50,0,9,5,,41
Public Class,org.junit.platform.engine.support.descriptor.DirectorySource,10,1,1,28,0,3,7,,43
Public Class,org.junit.platform.engine.support.descriptor.EngineDescriptor,2,1,2,0,5,2,2,,9
Public Class,org.junit.platform.engine.support.descriptor.FilePosition,22,1,1,44,0,5,10,,82
Public Class,org.junit.platform.engine.support.descriptor.FileSource,13,1,1,50,0,4,10,,57
Public Class,org.junit.platform.engine.support.descriptor.MethodSource,27,1,1,70,0,7,19,,115
Public Class,org.junit.platform.engine.support.descriptor.PackageSource,10,1,1,37,0,2,8,,38
Private Class,org.junit.platform.engine.support.discovery.EngineDiscoveryRequestResolution.DefaultContext,13,1,1,40,0,8,5,,53
Public Class,org.junit.platform.engine.support.filter.ClasspathScanningSupport,3,1,1,0,0,4,3,,15
Private Class,org.junit.platform.engine.support.hierarchical.CompositeLock.CompositeLockManagedBlocker,2,1,1,0,0,1,2,,13
Public Class,org.junit.platform.engine.support.hierarchical.DemoEngineExecutionContext,1,1,1,0,0,1,1,,6
Public Class,org.junit.platform.engine.support.hierarchical.DemoHierarchicalContainerDescriptor,6,1,2,60,1,5,5,,28
Public Class,org.junit.platform.engine.support.hierarchical.DemoHierarchicalEngineDescriptor,6,1,3,60,0,3,5,,25
Public Class,org.junit.platform.engine.support.hierarchical.DemoHierarchicalTestDescriptor,9,1,2,61,0,6,6,,34
Public Class,org.junit.platform.engine.support.hierarchical.DemoHierarchicalTestEngine,16,1,2,76,0,10,13,,58
Public Class,org.junit.platform.engine.support.hierarchical.ExclusiveResource,9,1,1,38,0,3,6,,46
